batch,train_loss,train_acc,val_loss,val_acc
0,0.66,55.47,0.69,52.30,
100,0.33,86.72,0.29,87.95,
200,0.18,92.19,0.2,92.00,
300,0.19,91.41,0.17,93.39,
400,0.14,94.53,0.14,94.76,
500,0.066,97.66,0.14,94.91,
600,0.17,93.75,0.12,95.70,
700,0.079,95.31,0.11,96.13,
800,0.098,95.31,0.11,96.13,
900,0.096,97.66,0.092,96.78,
1000,0.067,98.44,0.1,96.58,
1100,0.078,96.88,0.11,96.36,
1200,0.044,98.44,0.088,97.09,
1300,0.029,99.22,0.091,96.90,
1400,0.064,98.44,0.084,97.29,
1500,0.083,95.31,0.088,97.10,
1600,0.03,98.44,0.085,97.18,
1700,0.048,98.44,0.084,97.24,
1800,0.066,99.22,0.085,97.00,
1900,0.044,97.66,0.074,97.55,
2000,0.048,99.22,0.08,97.46,
2100,0.052,96.88,0.081,97.27,
2200,0.021,99.22,0.074,97.49,
2300,0.025,99.22,0.071,97.62,
2400,0.091,97.66,0.075,97.65,
2500,0.0098,100.00,0.081,97.60,
2600,0.039,98.44,0.071,97.73,
2700,0.063,97.66,0.077,97.62,
2800,0.056,96.88,0.074,97.36,
2900,0.03,98.44,0.086,97.17,
3000,0.043,99.22,0.066,97.92,
3100,0.041,98.44,0.069,97.70,
3200,0.017,99.22,0.072,97.83,
3300,0.034,99.22,0.078,97.94,
3400,0.029,98.44,0.069,97.81,
3500,0.076,97.66,0.069,97.96,
3600,0.0099,99.22,0.07,97.63,
3700,0.038,98.44,0.092,97.43,
3800,0.027,97.66,0.075,97.87,
3900,0.04,99.22,0.071,97.95,
4000,0.048,99.22,0.075,97.89,
